Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type,Day,Temperature Difference,Power [W],RPM_Torque_Ratio,Air_Process_Interaction,Temperature_Wear_Interaction,ToolWear_roll_mean_1_hours,ToolWear_roll_mean_6_hours,ToolWear_roll_mean_12_hours,ToolWear_roll_mean_24_hours,Type_H,Type_L,Type_M,Weekday_Friday,Weekday_Monday,Weekday_Saturday,Weekday_Sunday,Weekday_Thursday,Weekday_Tuesday,Weekday_Wednesday,Month_1,Month_2,Month_3,Month_4,Wear Category_Very Low,Wear Category_Low,Wear Category_Medium,Wear Category_High,Wear Category_Very High
-0.5553434559120517,-0.748313492273034,1.490666760201508,-1.093764279059593,-0.9136213684525167,No Failure,-1.4567638832394514,0.0008277469357507841,-0.820764625848179,1.0931581062543345,-0.6574551355408561,-0.916339850934993,-1.068034822288425,-1.0286701249898245,0.25622235806863,-1.9120136768651852,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
-0.5553434559120517,-0.8155966562772388,0.012121225849071314,-0.8002958902510059,-0.8663364441077335,No Failure,-1.4567638832394514,-0.09863473362794402,-1.0594924959429417,0.34770872164143213,-0.6863503882100562,-0.8695027855667328,-1.0267786446850622,-1.1665442322255004,0.1913834831541719,-1.8547327571506613,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
-0.6052387559802704,-0.8155966562772388,-0.02802028187090434,0.42598273441344464,-0.8348131612112114,No Failure,-1.4567638832394514,0.0008277469357507841,0.7486810467969923,-0.44122554450577445,-0.7162026934099436,-0.8381086336550361,-0.9813968493213631,-1.3034991787462717,0.12501898765349115,-1.797451837436136,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
-0.6052387559802704,-0.748313492273034,2.173072391441094,-1.6073339594746192,-0.8032898783146892,No Failure,-1.4567638832394514,0.10029022749944559,-1.4389515074061576,2.07811066998642,-0.6873171079380321,-0.8064247364941542,-0.9360150539576639,-1.440454125267043,0.056366061273476556,-1.740170917721612,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
-0.6052387559802704,-0.8155966562772388,3.1030173202871967,-2.05801755657352,-0.7717665954181671,No Failure,-1.4567638832394514,0.0008277469357507841,-1.9608243597992447,3.4780317117971826,-0.7162026934099436,-0.7753203298316423,-0.8947588763543012,-1.5774090717878144,-0.012286865106538024,-1.6828899980070882,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
-0.6052387559802704,-0.8155966562772388,0.18606775930229916,0.027704206744648907,-0.740243312521645,No Failure,-1.4567638832394514,0.0008277469357507841,0.2881754265798107,-0.18797006733293245,-0.7162026934099436,-0.7439261779199455,-0.8576283165112746,-1.714364018308586,-0.08322822236588642,-1.625609078292563,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
-0.6052387559802704,-0.8155966562772388,-0.5766208873772383,0.01722319285862781,-0.7087200296251228,No Failure,-1.4567638832394514,0.0008277469357507841,-0.20150040615636472,-0.36025573656485443,-0.7162026934099436,-0.7125320260082486,-0.8246233744285844,-1.658295214699411,-0.15416957962523484,-1.568328158578039,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
-0.6052387559802704,-0.8828798202814817,-0.5164086257972748,0.3211725955532352,-0.6614351052803396,No Failure,-1.4567638832394514,-0.09863473362800056,0.26734688932565753,-0.49769869768648395,-0.745088278881869,-0.6657762926397598,-0.7916184323458941,-1.6022264110902362,-0.22511093688458322,-1.5121928572578047,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
-0.6052387559802704,-0.8828798202814817,0.42691680562215306,-0.9679921124273412,-0.6299118223838175,No Failure,-1.4567638832394514,-0.09863473362800056,-1.1126616979385178,0.62632689824129,-0.745088278881869,-0.6343923072280344,-0.7544878725028675,-1.5452384467661568,-0.29528948385082054,-1.4549119375432809,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
-0.6052387559802704,-0.8828798202814817,-0.5498598822305879,0.8557043037403037,-0.5983885394872953,No Failure,-1.4567638832394514,-0.09863473362800056,1.0012193657312087,-0.7267371148422148,-0.745088278881869,-0.6030083218163089,-0.717357312659841,-1.491007964586791,-0.3654680308170573,-1.397631017828757,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
